0,SkinCeuticals Silymarin CF Serum 1 fl. oz,$166.00,4.5,6,None,"['Aqua/Water/Eau', ' Alcohol Denat.', ' Ascorbic Acid', ' Propylene Glycol', ' Dipropylene Glycol', ' Laureth-23', ' Silybum Marianum Fruit Extract', ' Sodium Citrate', ' Salicylic Acid', ' Ferulic Acid', ' D251110/']",SkinCeuticals,1 floz
1,Sulwhasoo Concentrated Ginseng Renewing Cream Mask 0.25 oz,$120.00,None,None,None,None,Sulwhasoo,33049900
2,BABOR Ampoule Hydra Plus 7 x 2ml,$29.95,5.0,4,None,"['Aqua', ' Glycerin', ' Saccharide Isomerate', ' C12-15 Pareth-12', ' Sodium Pca', ' Phenoxyethanol', ' Peg-7 Glyceryl Cocoate', ' Parfum', ' Ethylhexylglycerin', ' Potassium Sorbate', ' Citric Acid', ' Sodium Hyaluronate', ' Sodium Citrate', ' Disodium EDTA.']",BABOR,7 x Ampoules (0.067 fl. oz each)
3,SkinCeuticals Phyto Corrective Gel 30ml,$67.00,3.95,21,None,"['Aqua / Water / Eau', ' Glycerin', ' Propylene Glycol', ' Polysorbate 80', ' Phenoxyethanol', ' Sodium Benzoate', ' Sodium Hyaluronate', ' Hydroxyethylcellulose', ' Disodium Edta', ' Olea Europaea (Olive) Leaf Extract', ' Parfum / Fragrance', ' Benzophenone-4', ' Butylene Glycol', ' Citrus Grandis Extract / Grapefruit Fruit Extract', ' Cucumis Sativus Fruit Extract / Cucumber Fruit Extract', ' Benzyl Benzoate', ' Ci 19140 / Yellow 5', 'Thymus Vulgaris Flower/Leaf Extract - Thyme Flower/Leaf Extract', ' Eucalyptus Globulus Leaf Oil', ' Benzyl Alcohol', ' Alpha-Isomethyl Ionone', ' Ci 42090 / Blue 1', ' Linalool', ' Citronellol', ' Morus Alba Root Extract.']",SkinCeuticals,1 fl. oz
4,SkinCeuticals A.G.E. Interrupter,$161.00,4.4,5,None,"['Aqua/Water/Eau', ' Propylene Glycol', ' Dimethicone', 'Hydroxypropyl Tetrahydropyrantriol', ' Cyclohexasiloxane', ' Isohexadecane', ' Glycerin', 'Synthetic Wax', ' Dimethicone/Peg-10/15 Crosspolymer', ' Aluminum Starch Octenylsuccinate', 'Ci 77163/Bismuth Oxychloride', ' Phenoxyethanol', ' Magnesium Sulfate', ' Ethylhexyl Hydroxystearate', ' Salicyloyl Phytosphingosine', ' Cellulose', ' Methylparaben', ' Ethylparaben', ' Disodium Edta', ' Sorbitol', ' Vaccinium Myrtillus Fruit Extract', ' Dipropylene Glycol', ' Sodium Citrate', ' Parfum/Fragrance', ' Tocopherol', ' Coumarin', ' D271424/1']",SkinCeuticals,1.7 oz
5,NuFACE FIX Line Smoothing Device and Serum,$149.00,3.67,6,None,"['Water/Aqua/Eau', ' Propanediol', ' Glycerin', ' Ethylene/Acrylic Acid Copolymer', ' Palmitoyl Hexapeptide-52', ' Palmitoyl Heptapeptide-18', ' N-Prolyl Palmitoyl Tripeptide-56 Acetate', ' Olivine Extract', ' Hydrolyzed Hyaluronic Acid', ' Betaine', ' Tremella Fuciformis Sporocarp Extract', ' Lactic Acid/Glycolic Acid Copolymer', ' Pentylene Glycol', ' Carbomer', ' Xanthan Gum', ' Polyvinyl Alcohol', ' Poloxamer 338', ' Tocopherol', ' Sodium Citrate', ' Sodium Hydroxide', ' Silica', ' Mica', ' Caprylyl Glycol', ' Potassium Sorbate', ' Glyceryl Caprylate', ' Ethylhexylglycerin', ' Phenoxyethanol', ' Phenylpropanol', ' Sodium Metabisulfite', ' Bismuth Oxychloride (CI 77163)', ' Iron Oxides (CI 77491', ' CI 77492)\n                              For external use only. Discontinue use if irritation develops.']",NuFACE,Serum: 0.25 oz
6,SkinCeuticals Triple Lipid Restore 2:4:2,$130.00,4.41,27,None,"['Aqua/Water/Eau', ' Dimethicone', ' Hydrogenated Polyisobutene', ' Glycerin', ' Cholesterol', ' C12-15 Alkyl Benzoate', ' Ceramide 3', ' Helianthus Annuus Seed Oil Unsaponifiables/Sunflower Seed Oil Unsaponifiables', ' Bis-Peg-18 Methyl Ether Dimethyl Silane', ' Sodium Polyacrylate', ' Peg-10 Dimethicone', ' Nylon-12', ' Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone', ' Dimethicone/Peg-10/15 Crosspolymer', ' Phenoxyethanol', ' Disteardimonium Hectorite', ' Hydroxyethylpiperazine Ethane Sulfonic Acid', ' Ammonium Polyacryloyldimethyl Taurate', ' Chlorphenesin', ' Caprylyl Glycol', ' Peg/Ppg-18/18 Dimethicone', ' Propylene Carbonate', ' Disodium Edta', ' Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer', ' Adenosine', ' Dipropylene Glycol', ' Lavandula Angustifolia Oil/Lavender Oil', ' Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil', ' T-Butyl Alcohol', ' Mentha Piperita Oil/Peppermint Oil', ' Sodium Citrate', ' Linalool', ' Isobutane', ' Ceramide Eop', ' Bht', ' Tocopherol', ' Limonene', ' D182888/1.']",SkinCeuticals,1.7 oz
7,EltaMD UV Clear SPF46 Broad-Spectrum Duo (Worth $72),$70.00,4.8,5,None,"['Purified Water', ' Cyclopentasiloxane', ' Niacinamide', ' Octyldodecyl Neopentanoate', ' Hydroxyethyl Acrylate/Sodium\n                              Acryloyldimethyl Taurate Copolymer', ' Polyisobutene', ' PEG-7 Trimethylolpropane Coconut Ether', ' Sodium Hyaluronate', ' Tocopheryl Acetate', ' Lactic Acid', ' Oleth-3 Phosphate', ' Phenoxyethanol', ' Butylene Glycol', ' Iodopropynyl Butylcarbamate', ' Triethoxycaprylylsilane']",EltaMD,2 x 48g
8,EltaMD UV Aero Broad-Spectrum SPF45,$34.50,None,None,None,"['Active Ingredients: 9.3% Zinc oxide', '7.5% Octinoxate']",EltaMD,6oz
9,The Ordinary AHA 30% + BHA 2% Peeling Solution 30ml,$8.00,4.68,85,None,"['Glycolic Acid', ' Aqua (Water)', ' Arginine', ' Propanediol', ' Cocamidopropyl Dimethylamine', ' Triethanolamine', ' Salicylic Acid', ' Aminomethyl Propanol', ' Lactic Acid', ' Tartaric Acid', ' Citric Acid', ' Panthenol', ' Sodium Hyaluronate Crosspolymer', ' Tasmannia Lanceolata Fruit/Leaf Extract', ' Daucus Carota Sativa Extract', ' Glycerin', ' Pentylene Glycol', ' Polysorbate 20', ' Trisodium Ethylenediamine Disuccinate', ' Ethylhexylglycerin', ' 1', '2-Hexanediol', ' Caprylyl Glycol.']",The Ordinary,30ml
