,0,1,2,3,4,5,6,7
0,Grow Gorgeous Hair Density Serum Original 60ml,$35.00,4.0,2,None,"['Aqua/Water/Eau', ' Pentylene Glycol', ' Butylene Glycol', ' Propanediol', ' Caffeine', ' Phenoxyethanol', ' PPG-26-Buteth-26', ' Arginine', ' PEG-40 Hydrogenated Castor Oil', ' Fragrance (Parfum)', ' Lactic Acid', ' Sodium Hyaluronate', ' Glycine Soja (Soybean) Germ Extract', ' Triticum Vulgare (Wheat) Germ Extract', ' Allantoin', ' Chlorphenesin', ' Sodium Benzoate', ' Pisum Sativum (Pea) Sprout Extract', ' Gluconolactone', ' Trisodium Ethylenediamine Disuccinate', ' Scutellaria Baicalensis (Biakal Skullcap) Root Extract', ' Caramel', ' Citric Acid', ' Dextran', ' Acetyl Tetrapeptide-3', ' Butylphenyl Methylpropional', ' Limonene', ' Trifolium Pratense (Clover) Flower Extract', ' Linalool', ' Alpha-Isomethyl Ionone', ' Sodium Hydroxide', ' Calcium Gluconate.']",Grow Gorgeous,60ml
1,Miriam Quevedo Black Baccara Hair Multiplying Mask 250ml,$50.00,None,None,None,"['Amino Acids', ' Omega Acids', ' Peptides', ' Keratin', ' Vitamin A', ' Vitamin C', ' Vitamin E', ' Plant Stem Cells']",Miriam Quevedo,250ml
2,Phyto Phytophanere Dietary Supplement for Hair Nails and Skin 120 Caplets,$60.00,4.5,10,None,"['Huile De Germes De Blé (Vitamine E) / Wheat Germ Oil', ' Huile De Carotte ( Carotène) / Carrot Oil', ' Huile De Son De Riz (-Orizanol) / Rice Bran Oil', ' Huile De Poisson (Epa-Dha) / Fish Oil', ' Huile De Bourrache (-Linolénique) / Borage Seed Oil', ' Levures De Bières (Vitamines B', "" Cystéine) / Brewer's Yeast"", ' Acerola (Vitamine C) / Acerola', ' Glycérine / Glycerin', ' Gélatine / Gelatin', ' Huile De Tournesol / Sun Flower Oil', ' Huile De Soja Hydrogénée / Hydrogenated Soybean Oil', ' E 171', ' E 172.']",Phyto,None
3,NUXE Huile Prodigieuse Multi-Purpose Dry Oil 100ml (Worth $52.00),$42.00,5.0,3,None,"['Coco-Caprylate/Caprate', ' Macadamia Integrifolia Seed Oil', ' Dicaprylyl Ether', ' Caprylic/Capric Triglyceride', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Corylus Avellana (Hazel) Seed Oil', ' Camellia Oleifera Seed Oil', ' Parfum/Fragrance', ' Camellia Japonica Seed Oil', ' Tocopherol', ' Argania Spinosa Kernel Oil', ' Borago Officinalis Seed Oil', ' Tocopheryl Acetate', ' Helianthus Annuus (Sunflower) Seed Oil', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Polyglyceryl-3 Diisostearate', ' Ascorbic Acid', ' Solanum Lycopersicum (Tomato) Fruit Extract', ' Benzyl Salicylate', ' Linalool', ' Limonene', ' Citronellol', ' Geraniol', ' Benzyl Alcohol [N2212/A].']",NUXE,100ml
4,Olaplex Hero Bundle,$84.00,4.0,4,None,['Olaplex No.3 Hair Perfector 3.3 oz'],Olaplex,2 x 8.5oz / 1 x 3.3oz
5,Olaplex No. 4P Blonde Enhancer Toning Shampoo 250ml,$28.00,5.0,1,None,"['Water (Aqua/Eau)', ' Sodium C14-16 Olefin Sulfonate', ' Cocamidopropyl Betaine', ' Glycerin', ' Sodium Cocoamphoacetate', ' Sodium Chloride', ' Acrylates Copolymer', ' Betaine', ' Phenoxyethanol', ' Fragrance (Parfum)', ' Polyquaternium-7', ' Bis-Aminopropyl Diglycol Dimaleate', ' Guar Hydroxypropyltrimonium Chloride', ' Ethylhexylglycerin', ' Hexyl Cinnamal', ' Limonene', ' Citric Acid', ' Sodium Benzoate', ' Acid Violet 43 (Cl 60730).']",Olaplex,250ml
6,Olaplex Shampoo and Conditioner Bundle,$56.00,4.43,7,None,['Olaplex No.5 Bond Maintenance Conditioner 8.5 oz'],Olaplex,2 x 8.5oz
7,Miriam Quevedo Extreme Special Hair Loss Shampoo Sulfate Free 250ml,$45.00,None,None,None,"['Amino Acids', ' Omega Acids', ' Omega Acids', ' Peptides', ' Panthenol', ' Keratin', ' Coconut Oil', ' Vitamin A', ' Vitamin C']",Miriam Quevedo,None
8,Olaplex No. 8 Bond Intense Moisture Mask 3 oz,$28.00,5.0,1,None,"['Water (Aqua/Eau)', ' Dimethicone', ' Cetyl Alcohol', ' Persea Gratissima (Avocado) Oil', ' Glycerin', ' Stearyl Alcohol', ' Ethylhexyl Olivate', ' Behentrimonium Chloride', ' Cetrimonium Bromide', ' Limnanthes Alba (Meadowfoam) Seed Oil', ' Oryza Sativa (Rice) Bran Oil', ' Quaternium-80', ' Rosa Canina (Rose Hip) Seed Extract', ' Ceramide AP', ' Ceramide NP', ' Hydrolyzed Jojoba Esters', ' Sodium Hyaluronate', ' Sodium PCA', ' Bis-Aminopropyl Diglycol Dimaleate', ' Arginine', ' Cannabis Sativa (Hemp) Seed Oil', ' Jojoba Esters', ' Panthenol', ' Squalane', ' Carthamus Tinctorius (Sunflower) Seed Oil', ' Glycine', ' Alanine', ' Serine', ' Valine', ' Isoleucine', ' Proline', ' Threonine', ' Guar Hydroxypropyltrimonium Chloride', ' Histidine', ' Hydroxyethylcellulose', ' Phenylalanine', ' Aspartic Acid', ' PCA', ' Phosphatidylcholine', ' Citric Acid', ' Sodium Lactate', ' Ethylhexylglycerin', ' Sodium Benzoate', ' Phenoxyethanol', ' Bis-Cetearyl Amodimethicone', ' Fragrance (Parfum)', ' Citral', ' Hexyl Cinnamal', ' Limonene']",Olaplex,3oz
9,Miriam Quevedo Extreme Purifying Charcoal Shampoo Sulfate Free 250ml,$45.00,None,None,None,"['Amino Acids', ' Omega Acids', ' Omega Acids', ' Peptides', ' Panthenol', ' Keratin', ' Coconut Oil', ' Vitamin A', ' Vitamin C', ' Vitamin E', ' Sulfur', ' Activated charcoal']",Miriam Quevedo,250ml
